@RELATION overallSatisfaction

@ATTRIBUTE roomType {PrivateRoom,EntireHome,SharedRoom}
@ATTRIBUTE neighborhood {LesCorts,SantsMontjuic,CiutatVella,SantMarti,Gracia,Horta,Sarria,Eixample,SantAndreu,NouBarris}
PrivateRoom,SantsMontjuic,0,8,3,1,0,2,8
PrivateRoom,Eixample,2,8,3,1,0,3,8
PrivateRoom,Eixample,0,6,3,1,0,4,6
EntireHome,Eixample,0,8,10,9,0,4,7
EntireHome,Eixample,0,7,6,3,0,5,7
PrivateRoom,SantMarti,0,9,1,1,0,7,13
PrivateRoom,SantsMontjuic,0,9,1,1,0,3,5
EntireHome,Gracia,0,9,3,1,0,7,7
PrivateRoom,SantMarti,0,8,3,1,0,5,10
PrivateRoom,CiutatVella,0,9,3,1,0,3,10
PrivateRoom,Eixample,0,8,3,1,0,6,9
EntireHome,Eixample,0,7,9,3,0,3,8
PrivateRoom,SantsMontjuic,0,6,3,1,0,3,4
EntireHome,CiutatVella,0,8,5,1,0,4,9
EntireHome,SantMarti,1,6,6,5,0,9,12
EntireHome,Eixample,0,7,7,1,0,4,6
PrivateRoom,Horta,0,8,7,3,0,9,5
EntireHome,Eixample,1,8,7,3,0,6,9
EntireHome,SantsMontjuic,1,7,5,1,0,2,7
PrivateRoom,SantsMontjuic,1,8,3,1,0,2,8
EntireHome,Gracia,2,9,7,3,0,6,7
EntireHome,SantMarti,0,7,10,7,2,7,13
PrivateRoom,Eixample,0,9,1,1,0,6,10
PrivateRoom,Eixample,0,8,3,1,0,6,10
EntireHome,SantsMontjuic,0,9,7,3,0,2,7
PrivateRoom,CiutatVella,0,9,3,1,0,4,9
PrivateRoom,CiutatVella,1,9,3,1,0,4,9
PrivateRoom,Eixample,0,8,1,1,0,6,9
PrivateRoom,CiutatVella,0,7,3,1,0,3,9
EntireHome,Eixample,0,8,6,3,0,7,9
EntireHome,SantsMontjuic,0,6,5,3,0,2,3
PrivateRoom,Eixample,2,8,3,1,0,7,9
PrivateRoom,Eixample,1,8,3,1,0,4,8
EntireHome,LesCorts,0,8,7,3,0,4,4
EntireHome,SantAndreu,0,8,9,5,0,13,11
PrivateRoom,SantAndreu,0,8,3,1,0,9,10
PrivateRoom,SantsMontjuic,0,7,3,1,0,3,5
PrivateRoom,Sarria,1,8,3,1,0,7,5
PrivateRoom,Eixample,1,8,3,1,0,3,6
EntireHome,CiutatVella,0,1,8,5,1,3,9
PrivateRoom,Eixample,0,8,3,1,0,4,7
PrivateRoom,CiutatVella,0,8,3,1,0,3,9
EntireHome,CiutatVella,0,8,6,5,0,3,8
EntireHome,Eixample,0,8,7,1,0,3,8
EntireHome,Gracia,0,8,7,3,0,6,7
EntireHome,CiutatVella,0,8,3,1,0,3,8
